SM,Page,Address,City,Country,Latitude,Longitude
Accidental art object,212,1 cité Riverin,Paris,France,48.8693566,2.3577662
Accidental art object,191,1 rue de Paradis,Paris,France,48.8743658,2.3552598
Accidental art object,137,11 Passage de l'Industrie,Paris,France,48.8711545,2.3547891
Accidental art object,189,16 rue de Nancy,Paris,France,48.8725153,2.3580334
Accidental art object,150,169 rue la Fayette,Paris,France,48.8797571,2.3588085
Accidental art object,200,24 rue Quentin,Paris,France,48.8782945,2.355583
Accidental art object,25,249 rue du Faubourg-Saint-Martin,Paris,France,48.8827805,2.3672752
Accidental art object,222,38 boulevard de Strasbourg,Paris,France,48.8723496,2.3559317
Accidental art object,221,43 boulevard de Strasbourg,Paris,France,48.8720155,2.3557413
Accidental art object,43,43 rue Albert-Thomas,Paris,France,48.8701203,2.362315
Accidental art object,167,52 boulevard Magenta,Paris,France,48.8730598,2.358934
Accidental art object,88,8 rue Demarquay,Paris,France,48.8808818,2.3594848
Accidental art object,67,rue Buisson-Louis,Paris,France,48.872594,2.373988
Acoustic Image,234,25 boulevard de la Villette,Paris,France,48.8735641,2.3750671
Acoustic Image,71,boulevard de la Chapelle,Paris,France,48.884478,2.358767
Acoustic Image,124,Gare de l'Est,Paris,France,48.8762817,2.3606701
Acoustic Image,85,rue de Compiègne,Paris,France,48.879875,2.353503
Acoustic Image,26,rue du Faubourg-Saint-Martin,Paris,France,48.875012,2.359243
Acoustic Image,128,rue Gustave-Goublier,Paris,France,48.870876,2.355851
Ambiance,127,127 Faubourg du Temple,Paris,France,48.8715233,2.3754501
Ambiance,100,18 rue d’ Enghien ,Paris,France,48.8719407,2.3514736
Ambiance,216,2 boulevard de Strasbourg,Paris,France,48.86942,2.3542991
Ambiance,197,27 rue Philippe-de-Girard,Paris,France,48.8834992,2.3615737
Ambiance,191,29 rue de Paradis,Paris,France,48.8751752,2.3516156
Ambiance,145,29 rue Juliette Dodu,Paris,France,48.8756391,2.3688895
Ambiance,51,30 rue Saint-Barthélemy,Paris,France,48.883808,2.367843
Ambiance,36,34 rue du Faubourg Saint-Martin,Paris,France,48.8760616,2.360544
Ambiance,238,34 rue Yves-Toudic,Paris,France,48.8711779,2.3627475
Ambiance,114,40 rue du Faubourg Poissonnière ,Paris,France,48.8737321,2.3479146
Ambiance,207,52 rue René-Boulanger,Paris,France,48.8686207,2.3597798
Ambiance,193,7 rue Perdonnet,Paris,France,48.8831503,2.3597507
Ambiance,125,la Gare du Nord,Paris,France,48.8811302,2.35344
Ambiance,149,rue Lafayette,Paris,France,48.877978,2.351958
Announcement,227,119 quai de Valmy,Paris,France,48.8754051,2.3634506
Announcement,13,15 rue du faubourg Saint-Martin,Paris,France,48.8759757,2.3604792
Announcement,134,26 rue d’Hauteville,Paris,France,48.8726528,2.3501981
Announcement,213,32 rue de Rocroy,Paris,France,48.8811269,2.3512807
Announcement,14,33 rue du faubourg Saint-Martin,Paris,France,48.8760571,2.3605406
Announcement,114,34 rue du Faubourg Poissonnière,Paris,France,48.8732466,2.3478985
Announcement,223,38 boulevard de Strasbourg,Paris,France,48.8723496,2.3559317
Announcement,109,49 Faubourg du Temple,Paris,France,48.86955,2.369489
Announcement,102,61 rue du Faubourg Saint-Denis,Paris,France,48.8722271,2.3540088
Announcement,108,le Faubourg Denis,Paris,France,48.880203,2.357531
Antiville,88, 7 boulevard de Denain,Paris,France,48.8795224,2.3545396
Antiville,143,102 quai de Jemmapes,Paris,France,48.8735416,2.3639569
Antiville,228,165 quai de Valmy,Paris,France,48.8789758,2.3664755
Antiville,59,28 Impasse de Bonne-Nouvelle,Paris,France,48.870665,2.350192
Antiville,69,35 rue de Chabrol,Paris,France,48.8768193,2.3534238
Antiville,72,39 boulevard de la Chapelle,Paris,France,48.8838655,2.3535258
Antiville,83,7 rue Chaudron,Paris,France,48.8827649,2.366423
Appearance,64,15 rue Bouchardon,Paris,France,48.8702727,2.3574753
Appearance,204,17 la rue des Recollets,Paris,France,48.8746548,2.360934
Appearance,237,2 rue Yves-Tourdic,Paris,France,48.8682157,2.3653168
Appearance,93,22 le boulevard Saint-Denis,Paris,France,48.8695224,2.3533367
Appearance,36,34 rue du Faubourg Saint-Martin,Paris,France,48.8760616,2.360544
Appearance,236,35 rue des Vinaigriers,Paris,France,48.873142,2.3618097
Appearance,14,35 rue du Faubourg Saint-Martin,Paris,France,48.8760661,2.3605474
Appearance,183,4 boulevard Martin,Paris,France,48.8685594,2.3583591
Appearance,78,43 rue du Château-d’Eau,Paris,France,48.871597,2.3575008
Appearance,226,55 bis Quai de Valmy,Paris,France,48.8707522,2.3654267
Appearance,96,6 rue Dieu,Paris,France,48.8701823,2.3642721
Appearance,235,67 boulevard de la Villette,Paris,France,48.8765809,2.3716542
Appearance,105,85 Faubourg Denis,Paris,France,48.8734438,2.3548009
Archive,189,12 rue de Nancy,Paris,France,48.8723591,2.3585075
Archive,63,15 rue Bossuet,Paris,France,48.87916,2.3523563
Archive,29,186 rue du Faubourg Saint-Martin,Paris,France,48.8786178,2.3621139
Archive,187,23 rue de Messageries,Paris,France,48.8764946,2.3488884
Archive,231,3 rue Vicq-d'Azir,Paris,France,48.8761384,2.3688772
Archive,114,34 Faubourg Poissonnière,Paris,France,48.8732466,2.3478985
Archive,126,36 rue de la Grange-aux-Belles,Paris,France,48.8771688,2.3695215
Archive,142,quai de Jemmapes,Paris,France,48.876459,2.365074
Art sacrificed,174,10 passage du Marché ,Paris,France,48.8708959,2.3577787
Art sacrificed,182,16 boulevard Martin,Paris,France,48.8687848,2.3568812
Art sacrificed,198,27 rue Phillippe-de-Girard,Paris,France,48.8834992,2.3615737
Art sacrificed,214,31 rue Sambre-et-Meuse,Paris,France,48.8744945,2.3733505
Art sacrificed,235,35 rue des Vinaigriers,Paris,France,48.873142,2.3618097
Art sacrificed,158,4 rue Lucien-Sampaix,Paris,France,48.8708133,2.3597603
Art sacrificed,106,89 Faubourg Denis,Paris,France,48.8736422,2.3549275
Attraction,143,102 quai de Jemmapes,Paris,France,48.8735416,2.3639569
Attraction,163,119 boulevard Magenta,Paris,France,48.8800433,2.3527019
Attraction,118,146 Faubourg Poissonnière,Paris,France,48.8813496,2.3498073
Attraction,189,16 rue de Nancy,Paris,France,48.8725153,2.3580334
Attraction,218,20 boulevard de Strasbourg,Paris,France,48.8711638,2.3552716
Attraction,180,29 rue Marthe,Paris,France,48.8743249,2.3727129
Attraction,158,3 rue Lucien Sampaix,Paris,France,48.8708133,2.3597603
Attraction,235,57 boulevard de la Villette,Paris,France,48.876071,2.3722261
Attraction,227,95 quai de Valmy,Paris,France,48.880122,2.367569
Attraction,120,Cour de la Ferme-Lazare ,Paris,France,48.876156,2.355349
Branding,137,11 Passage de l'Industrie,Paris,France,48.8711545,2.3547891
Branding,164,149 boulevard Magenta,Paris,France,48.8829026,2.350119
Branding,151,169 rue La Fayette,Paris,France,48.8797571,2.3588085
Branding,141,21 rue Jean-Poulmarch,Paris,France,48.8728148,2.3633534
Branding,10,3 rue du Faubourg Saint-Martin,Paris,France,48.8759214,2.3604383
Branding,213,32 rue de Rocroy,Paris,France,48.8811269,2.3512807
Branding,60,34 Impasse Bonne-Nouvelle,Paris,France,48.870433,2.350629
Branding,96,34 rue de Dunkerque,Paris,France,48.8809419,2.3504895
Branding,170,4 boulevard Magenta,Paris,France,48.8686949,2.3628357
Branding,216,48 boulevard de Strasbourg,Paris,France,48.8725872,2.3560658
Branding,11,5 rue du Faubourg Saint-Martin,Paris,France,48.8759304,2.3604451
Cartography,66,15 rue Bouchardon,Paris,France,48.8702727,2.3574753
Cartography,233,20 boulevard de la Villette,Paris,France,48.8733149,2.3758383
Cartography,45,25 rue d'Alsace ,Paris,France,48.87797,2.3582987
Cartography,35,40 rue du Faubourg Saint-Martin,Paris,France,48.8760888,2.3605645
Cartography,68,allée du Canal,Paris,France,48.876421,2.363859
Cartography,160,boulevard Magenta,Paris,France,48.876909,2.355477
Cartography,112,Faubourg Poissonière,Paris,France,48.876284,2.34846
Cartography,137,Place Jacques-Bonsergent,Paris,France,48.871096,2.361055
Cartography,176,rue de Marseille,Paris,France,48.871574,2.363485
Confession,52,10 rue Beaurepaire,Paris,France,48.8697418,2.3635523
Confession,65,15 rue Bouchardon,Paris,France,48.8702727,2.3574753
Confession,150,179 rue La Fayette,Paris,France,48.8800025,2.3597165
Confession,25,265 rue du Faubourg Saint-Martin,Paris,France,48.8834028,2.3680119
Confession,223,38 boulevard de Strasbourg,Paris,France,48.8723496,2.3559317
Confession,34,42 rue du Faubourg Saint-Martin,Paris,France,48.8760978,2.3605713
Confession,77,43 rue du Château-d’Eau,Paris,France,48.871597,2.3575008
Confession,80,56 rue du Château-Landon,Paris,France,48.8839433,2.3644276
Confession,224,70 boulevard de Strasbourg,Paris,France,48.8752341,2.3576362
Confession,194,rue des Petites-Ecuries,Paris,France,48.873763,2.351022
Configuration,9,1 rue du Faubourg Saint-Martin,Paris,France,48.8759123,2.3604315
Configuration,167,126 boulevard Magenta,Paris,France,48.8798891,2.3528371
Configuration,182,14 boulevard Martin,Paris,France,48.8687405,2.3571816
Configuration,13,15 rue du Faubourg Saint-Martin,Paris,France,48.8759757,2.3604792
Configuration,83,16 avenue Claude-Vellefaux,Paris,France,48.8731346,2.3700307
Configuration,204,17 rue des Récollets,Paris,France,48.8746548,2.360934
Configuration,233,20 boulevard de la Villette,Paris,France,48.8733149,2.3758383
Configuration,36,26 rue du Faubourg Saint-Martin,Paris,France,48.8760254,2.3605167
Configuration,139,27 rue Jacques-Louvel-Tessier,Paris,France,48.871522,2.3710164
Configuration,14,33 rue du Faubourg Saint-Martin,Paris,France,48.8760571,2.3605406
Configuration,61,34 boulevard Bonne-Nouvelle,Paris,France,48.8704289,2.3492262
Configuration,72,39 boulevard de la Chapelle,Paris,France,48.8838655,2.3535258
Configuration,131,41 rue d'Hauteville,Paris,France,48.873889,2.3505463
Configuration,58,6 boulevard Bonne-Nouvelle,Paris,France,48.8697363,2.3524502
Configuration,235,81 boulevard de la Villette,Paris,France,48.8773294,2.3708008
Configuration,184,89 rue de Maubeuge,Paris,France,48.8810609,2.3532801
Configuration,111,99 Faubourg du Temple,Paris,France,48.870802,2.373543
